"tienda","empresa","datef","Entry","Exit","ciudad","precip"
"1","Ficcus",2016-01-08,167,0,"santiago",0
"1","Ficcus",2016-01-09,382,0,"santiago",0
"1","Ficcus",2016-01-10,298,0,"santiago",0
"1","Ficcus",2016-01-11,133,0,"santiago",0
"1","Ficcus",2016-01-12,195,0,"santiago",0
"1","Ficcus",2016-01-13,164,0,"santiago",0
"1","Ficcus",2016-01-14,150,0,"santiago",0
"1","Ficcus",2016-01-15,174,0,"santiago",0
"1","Ficcus",2016-01-16,374,0,"santiago",0
"1","Ficcus",2016-01-17,244,0,"santiago",0
"1","Ficcus",2016-01-18,134,0,"santiago",0
"1","Ficcus",2016-01-19,139,0,"santiago",0
"1","Ficcus",2016-01-20,190,0,"santiago",0
"1","Ficcus",2016-01-21,142,0,"santiago",0
"1","Ficcus",2016-01-22,276,0,"santiago",0
"1","Ficcus",2016-01-23,527,0,"santiago",1
"1","Ficcus",2016-01-24,410,0,"santiago",0
"1","Ficcus",2016-01-25,247,0,"santiago",0
"1","Ficcus",2016-01-26,228,0,"santiago",0
"1","Ficcus",2016-01-27,241,0,"santiago",0
"1","Ficcus",2016-01-28,231,0,"santiago",0
"1","Ficcus",2016-01-29,286,0,"santiago",0
"1","Ficcus",2016-01-30,517,0,"santiago",0
"1","Ficcus",2016-01-31,354,0,"santiago",0
"1","Ficcus",2016-02-01,162,0,"santiago",0
"1","Ficcus",2016-02-02,188,0,"santiago",0
"1","Ficcus",2016-02-03,211,0,"santiago",0
"1","Ficcus",2016-02-04,240,0,"santiago",0
"1","Ficcus",2016-02-05,257,0,"santiago",0
"1","Ficcus",2016-02-06,414,0,"santiago",0
"1","Ficcus",2016-02-07,356,0,"santiago",0
"1","Ficcus",2016-02-08,214,0,"santiago",0
"1","Ficcus",2016-02-09,214,0,"santiago",0
"1","Ficcus",2016-02-10,184,0,"santiago",0
"1","Ficcus",2016-02-11,168,0,"santiago",0
"1","Ficcus",2016-02-12,194,0,"santiago",0
"1","Ficcus",2016-02-13,365,0,"santiago",0
"1","Ficcus",2016-02-14,270,0,"santiago",0
"1","Ficcus",2016-02-15,198,0,"santiago",0
"1","Ficcus",2016-02-16,194,0,"santiago",0
"1","Ficcus",2016-02-17,203,0,"santiago",0
"1","Ficcus",2016-02-18,213,0,"santiago",0
"1","Ficcus",2016-02-19,207,0,"santiago",0
"1","Ficcus",2016-02-20,344,0,"santiago",0
"1","Ficcus",2016-02-21,309,0,"santiago",0
"1","Ficcus",2016-02-22,175,0,"santiago",0
"1","Ficcus",2016-02-23,188,0,"santiago",0
"1","Ficcus",2016-02-24,180,0,"santiago",0
"1","Ficcus",2016-02-25,173,0,"santiago",0
"1","Ficcus",2016-02-26,196,0,"santiago",0
"1","Ficcus",2016-02-27,444,0,"santiago",0
"1","Ficcus",2016-02-28,314,0,"santiago",0
"1","Ficcus",2016-02-29,193,0,"santiago",0
"1","Ficcus",2016-03-01,148,0,"santiago",0
"1","Ficcus",2016-03-02,173,0,"santiago",0
"1","Ficcus",2016-03-03,200,0,"santiago",0
"1","Ficcus",2016-03-04,183,0,"santiago",0
"1","Ficcus",2016-03-05,515,0,"santiago",0
"1","Ficcus",2016-03-06,287,0,"santiago",0
"1","Ficcus",2016-03-07,140,0,"santiago",0
"1","Ficcus",2016-03-08,136,0,"santiago",0
"1","Ficcus",2016-03-09,178,0,"santiago",0
"1","Ficcus",2016-03-10,138,0,"santiago",0
"1","Ficcus",2016-03-11,221,0,"santiago",0
"1","Ficcus",2016-03-12,670,0,"santiago",0
"1","Ficcus",2016-03-13,419,0,"santiago",0
"1","Ficcus",2016-03-14,118,0,"santiago",0
"1","Ficcus",2016-03-15,155,0,"santiago",0
"1","Ficcus",2016-03-16,164,0,"santiago",0
"1","Ficcus",2016-03-17,151,0,"santiago",0
"1","Ficcus",2016-03-18,240,0,"santiago",0
"1","Ficcus",2016-03-19,699,0,"santiago",0
"1","Ficcus",2016-03-20,495,0,"santiago",0
"1","Ficcus",2016-03-21,164,0,"santiago",0
"1","Ficcus",2016-03-22,163,0,"santiago",0
"1","Ficcus",2016-03-23,202,0,"santiago",0
"1","Ficcus",2016-03-24,224,0,"santiago",0
"1","Ficcus",2016-03-25,440,0,"santiago",0
"1","Ficcus",2016-03-26,768,0,"santiago",0
"1","Ficcus",2016-03-27,527,0,"santiago",0
"1","Ficcus",2016-03-28,263,0,"santiago",0
"1","Ficcus",2016-03-29,138,0,"santiago",0
"1","Ficcus",2016-03-30,263,0,"santiago",0
"1","Ficcus",2016-03-31,296,0,"santiago",0
"1","Ficcus",2016-04-01,419,0,"santiago",0
"1","Ficcus",2016-04-02,1258,0,"santiago",0
"1","Ficcus",2016-04-03,1065,0,"santiago",0
"1","Ficcus",2016-04-04,227,0,"santiago",0
"1","Ficcus",2016-04-05,229,0,"santiago",1
"1","Ficcus",2016-04-06,251,0,"santiago",0
"1","Ficcus",2016-04-07,320,0,"santiago",0
"1","Ficcus",2016-04-08,360,0,"santiago",0
"1","Ficcus",2016-04-09,1089,0,"santiago",0
"1","Ficcus",2016-04-10,962,0,"santiago",0
"1","Ficcus",2016-04-11,222,0,"santiago",0
"1","Ficcus",2016-04-12,250,0,"santiago",0
"1","Ficcus",2016-04-13,313,0,"santiago",1
"1","Ficcus",2016-04-14,191,0,"santiago",1
"1","Ficcus",2016-04-15,299,0,"santiago",1
"1","Ficcus",2016-04-16,1032,0,"santiago",1
"1","Ficcus",2016-04-17,180,0,"santiago",1
"1","Ficcus",2016-04-18,264,0,"santiago",1
"1","Ficcus",2016-04-19,213,0,"santiago",1
"1","Ficcus",2016-04-20,261,0,"santiago",0
"1","Ficcus",2016-04-21,236,0,"santiago",0
"1","Ficcus",2016-04-22,310,0,"santiago",0
"1","Ficcus",2016-04-23,948,0,"santiago",1
"1","Ficcus",2016-04-24,710,0,"santiago",1
"1","Ficcus",2016-04-25,197,0,"santiago",0
"1","Ficcus",2016-04-26,229,0,"santiago",0
"1","Ficcus",2016-04-27,213,0,"santiago",0
"1","Ficcus",2016-04-28,274,0,"santiago",0
"1","Ficcus",2016-04-29,376,0,"santiago",0
"1","Ficcus",2016-04-30,1009,0,"santiago",1
"1","Ficcus",2016-05-02,217,0,"santiago",0
"1","Ficcus",2016-05-03,233,0,"santiago",0
"1","Ficcus",2016-05-04,249,0,"santiago",0
"1","Ficcus",2016-05-05,256,0,"santiago",0
"1","Ficcus",2016-05-06,302,0,"santiago",0
"1","Ficcus",2016-05-07,753,0,"santiago",0
"1","Ficcus",2016-05-08,351,0,"santiago",0
"1","Ficcus",2016-05-09,155,0,"santiago",0
"1","Ficcus",2016-05-10,188,0,"santiago",1
"1","Ficcus",2016-05-11,154,0,"santiago",1
"1","Ficcus",2016-05-12,140,0,"santiago",0
"1","Ficcus",2016-05-13,324,0,"santiago",0
"1","Ficcus",2016-05-14,887,0,"santiago",1
"1","Ficcus",2016-05-15,749,0,"santiago",0
"1","Ficcus",2016-05-16,190,0,"santiago",0
"1","Ficcus",2016-05-17,177,0,"santiago",0
"1","Ficcus",2016-05-18,151,0,"santiago",1
"1","Ficcus",2016-05-19,183,0,"santiago",0
"1","Ficcus",2016-05-20,231,0,"santiago",1
"1","Ficcus",2016-05-21,757,0,"santiago",1
"1","Ficcus",2016-05-22,619,0,"santiago",0
"1","Ficcus",2016-05-23,132,0,"santiago",0
"1","Ficcus",2016-05-24,140,0,"santiago",0
"1","Ficcus",2016-05-25,182,0,"santiago",0
"1","Ficcus",2016-05-26,209,0,"santiago",0
"1","Ficcus",2016-05-27,301,0,"santiago",0
"1","Ficcus",2016-05-28,855,0,"santiago",1
"1","Ficcus",2016-05-29,421,0,"santiago",1
"1","Ficcus",2016-05-30,121,0,"santiago",0
"1","Ficcus",2016-05-31,171,0,"santiago",0
"1","Ficcus",2016-06-01,180,0,"santiago",0
"1","Ficcus",2016-06-02,127,0,"santiago",1
"1","Ficcus",2016-06-03,172,0,"santiago",1
"1","Ficcus",2016-06-04,763,0,"santiago",0
"1","Ficcus",2016-06-05,571,0,"santiago",0
"1","Ficcus",2016-06-06,140,0,"santiago",0
"1","Ficcus",2016-06-07,148,0,"santiago",0
"1","Ficcus",2016-06-08,140,0,"santiago",0
"1","Ficcus",2016-06-09,118,0,"santiago",0
"1","Ficcus",2016-06-10,125,0,"santiago",0
"1","Ficcus",2016-06-11,543,0,"santiago",0
"1","Ficcus",2016-06-12,433,0,"santiago",1
"1","Ficcus",2016-06-13,105,0,"santiago",0
"1","Ficcus",2016-06-14,103,0,"santiago",0
"1","Ficcus",2016-06-15,155,0,"santiago",0
"1","Ficcus",2016-06-16,169,0,"santiago",0
"1","Ficcus",2016-06-17,188,0,"santiago",0
"1","Ficcus",2016-06-18,526,0,"santiago",0
"1","Ficcus",2016-06-19,201,0,"santiago",0
"1","Ficcus",2016-06-20,124,0,"santiago",0
"1","Ficcus",2016-06-21,108,0,"santiago",0
"1","Ficcus",2016-06-22,128,0,"santiago",0
